Site_code,x,y,Heat_L,PC1,PC2,PC3,Time,Site,Burnt,Habitat,Year,Max_age,Dung,DungL,Altitude,Slope,Aspect,Shrub_ht_cm,Shrub_cover,Graminoids_%,Herb,Other_mosses,bushy lichens,Sphagnum_sp%,Open_water,Pteridium aquilinum,Bare_peat
SH102,250127,344452,0.7853,-0.416234324,0.765329551,0.22118955,2014,SH,Y,Bog,2014,3,None,None,271,2.59241,6.34019,13,3,68,5,7,0,3,0,0,14
SH103,250426,344456,0.8324,-0.521966817,-0.807755654,-0.407316529,2012,SH,Y,Bog,2012,1,None,None,289,4.28915,233.13,9,1.5,77,1.5,3,0,3,1,0,14
SH103,250426,344456,0.8324,-0.521966817,-0.807755654,-0.407316529,2013,SH,Y,Bog,2013,2,None,None,289,4.28915,233.13,19,2,87,0.5,4,0,3,0,0,3
SH103,250426,344456,0.8324,-0.521966817,-0.807755654,-0.407316529,2014,SH,Y,Bog,2014,3,None,None,289,4.28915,233.13,16,13,58,0,2,0,38,0,0,1
SH104,250726,344453,0.8129,-0.392298,-0.31922137,-0.099409224,2012,SH,Y,Bog,2012,1,None,None,309,2.98822,286.699,12,1.5,72,3,1,0,13,6,0,4
SH104,250726,344453,0.8129,-0.392298,-0.31922137,-0.099409224,2013,SH,Y,Bog,2013,2,None,None,309,2.98822,286.699,22,2,71,5,1,0,20,0,0,2
SH104,250726,344453,0.8129,-0.392298,-0.31922137,-0.099409224,2014,SH,Y,Bog,2014,3,None,None,309,2.98822,286.699,13,3,54,14,3,0,24,0,0,2
SH121,250124,344157,0.8222,0.24769746,0.982728014,-0.349384528,2012,SH,Y,Bog,2012,1,None,None,273,2.22716,225,13,5,16,0.5,1,0,77,3,0,0
SH121,250124,344157,0.8222,0.24769746,0.982728014,-0.349384528,2013,SH,Y,Bog,2013,2,None,None,273,2.22716,225,20,4,22,3.5,1,0,70,0,0,0.5
SH121,250124,344157,0.8222,0.24769746,0.982728014,-0.349384528,2014,SH,Y,Bog,2014,3,None,None,273,2.22716,225,27,11,18,12,1,0,61,0,0,0
SH13,249829,346257,0.8095,0.322220526,0.243006631,-0.860691425,2012,SH,N,Bog,2012,11,None,None,276,1.28096,296.565,21,25,20,20,1,0.5,34,0,0,0
SH13,249829,346257,0.8095,0.322220526,0.243006631,-0.860691425,2013,SH,N,Bog,2013,12,None,None,276,1.28096,296.565,25,16,16,10.5,0,0,58,0,0,0
SH13,249829,346257,0.8095,0.322220526,0.243006631,-0.860691425,2014,SH,N,Bog,2014,13,None,None,276,1.28096,296.565,27,24,47,5,1,1,46,0,0,0
SH14,250129,346257,0.8065,-0.447442344,-0.162782937,-0.280939537,2012,SH,N,Bog,2012,9,None,None,292,2.26364,145.305,24,61,3,7,0.5,0,27,0,0,0
SH14,250129,346257,0.8065,-0.447442344,-0.162782937,-0.280939537,2013,SH,N,Bog,2013,10,None,None,292,2.26364,145.305,25,45,12,3,1,0.5,39,0,0,0
SH14,250129,346257,0.8065,-0.447442344,-0.162782937,-0.280939537,2014,SH,N,Bog,2014,11,None,None,292,2.26364,145.305,33,34,16,0,3,1,52,0,0,0
SH15,250427,346257,0.7843,-0.011507482,0.598596256,-0.556487096,2012,SH,N,Bog,2012,15,None,None,279,2.30842,60.2551,40,35,9,0,0.5,0.5,56,0,0,0
SH15,250427,346257,0.7843,-0.011507482,0.598596256,-0.556487096,2013,SH,N,Bog,2013,16,None,None,279,2.30842,60.2551,38,38,4,0,0.5,0,77,0,0,0
SH15,250427,346257,0.7843,-0.011507482,0.598596256,-0.556487096,2014,SH,N,Bog,2014,17,None,None,279,2.30842,60.2551,47,31,19,0,7,4,37,0,0,0
SH191,252754,342074,0.822,0.298851515,0.293641235,-0.058963355,2012,SH,Y,Bog,2012,1,None,None,313,2.36968,244.983,18,31,19,6,9,0,20,0,0,15
SH191,252754,342074,0.822,0.298851515,0.293641235,-0.058963355,2013,SH,Y,Bog,2013,2,None,None,313,2.36968,244.983,23,71,18,5,4,0,1,0,0,1
SH191,252754,342074,0.822,0.298851515,0.293641235,-0.058963355,2014,SH,Y,Bog,2014,3,None,None,313,2.36968,244.983,23,36,18,6,13,0,23,0,0,4
SH198D,255339,344585,0.736,-0.432880243,0.191024487,0.896661034,2012,SH,Y,Bog,2012,1,None,None,345,9.30151,102.339,14,29,23.5,1.5,14,0,12,0,0,20
SH198D,255339,344585,0.736,-0.432880243,0.191024487,0.896661034,2013,SH,Y,Bog,2013,2,None,None,345,9.30151,102.339,24,52,33,1,3,0,5,0,0,6
SH198D,255339,344585,0.736,-0.432880243,0.191024487,0.896661034,2014,SH,Y,Bog,2014,3,None,None,345,9.30151,102.339,25,48,22,3,6,0,16,0,0,4
SH22,249828,345958,0.8207,0.074708377,0.591711166,-0.624635475,2012,SH,N,Bog,2012,7,None,None,260,5.17424,173.66,28,72,26,0,5,0,7,0,0,0
SH22,249828,345958,0.8207,0.074708377,0.591711166,-0.624635475,2013,SH,N,Bog,2013,8,None,None,260,5.17424,173.66,38,50,29,0,6,0.5,15,0,0,0
SH22,249828,345958,0.8207,0.074708377,0.591711166,-0.624635475,2014,SH,N,Bog,2014,9,None,None,260,5.17424,173.66,42,48,27,0,9,0,16,0,0,0
SH24,250427,345956,0.7906,-0.02441172,0.38468002,-0.737929547,2012,SH,N,Bog,2012,12,None,None,282,1.91034,77.0054,35,39,22.5,12,3,0,24,0,0,0
SH24,250427,345956,0.7906,-0.02441172,0.38468002,-0.737929547,2013,SH,N,Bog,2013,13,None,None,282,1.91034,77.0054,26,37,14,16,0,0,32,0,0,1
SH24,250427,345956,0.7906,-0.02441172,0.38468002,-0.737929547,2014,SH,N,Bog,2014,14,None,None,282,1.91034,77.0054,34,35,21,23,6,0,11,0,0,0
SH32,250426,345655,0.8399,-0.281388498,0.202739868,-0.308385745,2012,SH,Y,Bog,2012,1,None,None,252,8.14813,192.095,20,5,39,4,0.5,0,26,0,0,26
SH32,250426,345655,0.8399,-0.281388498,0.202739868,-0.308385745,2013,SH,Y,Bog,2013,2,None,None,252,8.14813,192.095,23,17,39,0.5,0.5,0,31,0,0,13
SH32,250426,345655,0.8399,-0.281388498,0.202739868,-0.308385745,2014,SH,Y,Bog,2014,3,None,None,252,8.14813,192.095,24,10,42,1,1,0.5,31,0,0,4
SH5,250127,346554,0.6668,-0.321329291,0.025488368,-0.718369115,2012,SH,N,Bog,2012,13,None,None,271,13.1084,14.9314,26,55,19,0,1,1,24,0,0,0
SH5,250127,346554,0.6668,-0.321329291,0.025488368,-0.718369115,2013,SH,N,Bog,2013,14,None,None,271,13.1084,14.9314,27,60,12,0,1,0.5,70,0,0,0
SH5,250127,346554,0.6668,-0.321329291,0.025488368,-0.718369115,2014,SH,N,Bog,2014,15,None,None,271,13.1084,14.9314,32,46,21,0,2,3,63,0,0,0
SH6,250428,346555,0.8148,0.240704443,0.450214817,-0.458208025,2012,SH,N,Bog,2012,14,None,None,262,4.88765,285.255,75,48,9,0,14,2,26,0,0,1
SH6,250428,346555,0.8148,0.240704443,0.450214817,-0.458208025,2013,SH,N,Bog,2013,15,None,None,262,4.88765,285.255,82,30,18,0,2,3,47,0,0,0.5
SH6,250428,346555,0.8148,0.240704443,0.450214817,-0.458208025,2014,SH,N,Bog,2014,16,Rare,Low,262,4.88765,285.255,86,57,26,1,12,4,23,0,0,3
SH66,250729,345053,0.7763,0.026385418,-0.54052005,-0.461029736,2012,SH,Y,Bog,2012,1,None,None,278,5.74594,333.435,15,7,43,21,3,0,24,0,0,2
SH66,250729,345053,0.7763,0.026385418,-0.54052005,-0.461029736,2013,SH,Y,Bog,2013,2,None,None,278,5.74594,333.435,21,5,49,6,1,0,23,0,0,0.5
SH66,250729,345053,0.7763,0.026385418,-0.54052005,-0.461029736,2014,SH,Y,Bog,2014,3,None,None,278,5.74594,333.435,16,8,60,10,2,0,26,0,0,0
SH85,250730,344757,0.7867,-0.485774957,-0.159127652,-0.176072564,2012,SH,Y,Bog,2012,1,None,None,297,4.22215,331.699,8,17,4,70,0.5,0,8,0,0,1
SH85,250730,344757,0.7867,-0.485774957,-0.159127652,-0.176072564,2013,SH,Y,Bog,2013,2,None,None,297,4.22215,331.699,26,15,11,13,0.5,0,19,0,0,0
SH85,250730,344757,0.7867,-0.485774957,-0.159127652,-0.176072564,2014,SH,Y,Bog,2014,3,None,None,297,4.22215,331.699,22,17,5,60,0.5,0,27,0,0,0
SH99,255527,344755,0.761,-0.570216501,-0.323291908,0.501388795,2012,SH,Y,Bog,2012,1,None,None,322,8.91833,120.651,15,80,10,0,0.5,0.5,10,0,0,0
SH99,255527,344755,0.761,-0.570216501,-0.323291908,0.501388795,2013,SH,Y,Bog,2013,2,None,None,322,8.91833,120.651,23,67,16,0,2,0,15,0,0,0
SH99,255527,344755,0.761,-0.570216501,-0.323291908,0.501388795,2014,SH,Y,Bog,2014,3,None,None,322,8.91833,120.651,24,65,26,0,4,0,37,0,0,0
