Site_code,x,y,Heat_L,PC1,PC2,PC3,Time,Site,Burnt,Habitat,Year,Max_age,Dung,DungL,Altitude,Slope,Aspect,Shrub_ht_cm,Shrub_cover,Graminoids_%,Herb,Other_mosses,bushy lichens,Sphagnum_sp%,Open_water,Pteridium aquilinum,Bare_peat
MNB103,252119,381509,0.7612,-0.895922896,-0.191179731,0.403932656,2013,MN,Y,Bog,2013,2,Frequent,High,411,9.17928,124.919,12,41,9,0,12,0,0,0,0,38
MNB103,252119,381509,0.7612,-0.895922896,-0.191179731,0.403932656,2014,MN,Y,Bog,2014,3,Frequent,High,411,9.17928,124.919,19,74,11,0,19,0,0,0,0,4
MNB110,250930,381207,0.6899,-0.415891475,0.402609094,0.056310096,2012,MN,Y,Bog,2012,1,None,None,494,11.8728,2.72631,10,16,47,9,8,0,0.5,0,0,20
MNB110,250930,381207,0.6899,-0.415891475,0.402609094,0.056310096,2013,MN,Y,Bog,2013,2,None,None,494,11.8728,2.72631,15,27,47,2,15,0,0.5,0,0,9
MNB110,250930,381207,0.6899,-0.415891475,0.402609094,0.056310096,2014,MN,Y,Bog,2014,3,None,None,494,11.8728,2.72631,26,35,43,3,13,0,2,0,0,4
MNB112,251527,381207,0.7546,-0.933494451,-0.267317632,0.4991566,2012,MN,Y,Bog,2012,1,None,None,441,6.95074,105.461,7,20,14,0,8,0,0,0,0,58
MNB112,251527,381207,0.7546,-0.933494451,-0.267317632,0.4991566,2013,MN,Y,Bog,2013,2,Rare,Low,441,6.95074,105.461,6,29,12,0,3,0,0,0,0,66
MNB112,251527,381207,0.7546,-0.933494451,-0.267317632,0.4991566,2014,MN,Y,Bog,2014,3,None,None,441,6.95074,105.461,19,74,16,0,6,0,0,3,0,0
MNB121,251226,380915,0.7138,-0.507955731,0.068768674,0.263307606,2012,MN,Y,Bog,2012,1,Occaisional,Low,492,17.8226,126.781,12,28,25,2,40,0,0,0,0,7
MNB121,251226,380915,0.7138,-0.507955731,0.068768674,0.263307606,2013,MN,Y,Bog,2013,2,None,None,492,17.8226,126.781,12,60,30,4,7,0,0,0,0,3
MNB121,251226,380915,0.7138,-0.507955731,0.068768674,0.263307606,2014,MN,Y,Bog,2014,3,None,None,492,17.8226,126.781,25,79,16,1,7,0,0,0,0,0
MNB129,250734,380615,0.7808,0.028503548,0.647241249,-0.018476121,2012,MN,N,Bog,2012,15,None,None,498,7.65189,135,40,71,4,0,25,0,0.5,0,0,0.5
MNB129,250734,380615,0.7808,0.028503548,0.647241249,-0.018476121,2013,MN,N,Bog,2013,16,None,None,498,7.65189,135,20,50,13,0,37,0,0,0,0,0
MNB129,250734,380615,0.7808,0.028503548,0.647241249,-0.018476121,2014,MN,N,Bog,2014,17,None,None,498,7.65189,135,26,59,16,0,54,0,0,0,0,1
MNB130,250926,380609,0.7438,-1.130278844,-1.302764911,1.243755308,2012,MN,N,Bog,2012,13,None,None,464,12.5186,125.838,30,41.5,42,11,5,0,0.5,0,0,0
MNB130,250926,380609,0.7438,-1.130278844,-1.302764911,1.243755308,2013,MN,N,Bog,2013,14,None,None,464,12.5186,125.838,27,37,35,6,13,0,5,0,0,0
MNB130,250926,380609,0.7438,-1.130278844,-1.302764911,1.243755308,2014,MN,N,Bog,2014,15,None,None,464,12.5186,125.838,20,10,51,11,26,0,2,0,0,0
MNB131,251229,380612,0.8048,-0.080569784,-0.074530389,-0.830313173,2012,MN,N,Bog,2012,12,None,None,428,13.6861,160.821,37,12,62,21.5,1,0,4,0,0,0
MNB131,251229,380612,0.8048,-0.080569784,-0.074530389,-0.830313173,2013,MN,N,Bog,2013,13,None,None,428,13.6861,160.821,29,5,61,16,4,0,20,0,0,0
MNB131,251229,380612,0.8048,-0.080569784,-0.074530389,-0.830313173,2014,MN,N,Bog,2014,14,None,None,428,13.6861,160.821,39,19,62,10,6,0,13,0,0,0
MNB133,251824,380609,0.7476,-0.244347826,0.265532039,0.298948786,2012,MN,Y,Bog,2012,1,None,None,370,6.56634,92.4896,13,40,37,0,2,0,18,0,0,3
MNB133,251824,380609,0.7476,-0.244347826,0.265532039,0.298948786,2013,MN,Y,Bog,2013,2,None,None,370,6.56634,92.4896,22,45,37,0,8,0,9,0,0,1
MNB133,251824,380609,0.7476,-0.244347826,0.265532039,0.298948786,2014,MN,Y,Bog,2014,3,None,None,370,6.56634,92.4896,32,46,41,0,4,0,0,0,0,0
MNB139,250625,380309,0.6888,-0.044336962,0.138779949,-0.123268244,2012,MN,N,Bog,2012,8,Rare,Low,503,11.763,85.1792,15,81,2,0,17,0,0,0,0,0
MNB139,250625,380309,0.6888,-0.044336962,0.138779949,-0.123268244,2013,MN,N,Bog,2013,9,None,None,503,11.763,85.1792,14,75,0.5,0.5,25,0,0,0,0,0
MNB139,250625,380309,0.6888,-0.044336962,0.138779949,-0.123268244,2014,MN,N,Bog,2014,10,Rare,Low,503,11.763,85.1792,23,72,2,0.5,26,0,0,0,0,0
MNB142,251523,380303,0.8173,-0.149835052,0.282356337,-0.182963004,2012,MN,N,Bog,2012,11,None,None,363,12.8174,167.949,60,83,13,0,9,0,0,0,0,0
MNB142,251523,380303,0.8173,-0.149835052,0.282356337,-0.182963004,2013,MN,N,Bog,2013,12,None,None,363,12.8174,167.949,60,86,11,0,30,0,0,0,0,0
MNB142,251523,380303,0.8173,-0.149835052,0.282356337,-0.182963004,2014,MN,N,Bog,2014,13,None,None,363,12.8174,167.949,60,86,4,0,22,0,0,0,0,0
MNB149,250632,380010,0.6936,-0.413741837,0.719418006,0.182644386,2012,MN,N,Bog,2012,11,None,None,505,11.0041,81.8699,25,76,22,0,5,0,0,0,0,0
MNB149,250632,380010,0.6936,-0.413741837,0.719418006,0.182644386,2013,MN,N,Bog,2013,12,None,None,505,11.0041,81.8699,22,49,41,0,8,0,2,0,0,0
MNB149,250632,380010,0.6936,-0.413741837,0.719418006,0.182644386,2014,MN,N,Bog,2014,13,None,None,505,11.0041,81.8699,24,71,19,0.5,21,0,0,0,0,0
MNB150,250926,380010,0.5822,-0.124472435,-0.171468261,-0.472178281,2012,MN,N,Bog,2012,15,None,None,421,19.3483,70.0169,30,42,11,1,25,0,21,0,0,0
MNB150,250926,380010,0.5822,-0.124472435,-0.171468261,-0.472178281,2013,MN,N,Bog,2013,16,None,None,421,19.3483,70.0169,20,40,20,0.5,32,0,8,0,0,0
MNB150,250926,380010,0.5822,-0.124472435,-0.171468261,-0.472178281,2014,MN,N,Bog,2014,17,None,None,421,19.3483,70.0169,37,52,12,0,29,0,13,0,0,0
MNB151,251222,380016,0.6938,-0.211478323,-0.280021131,-0.459567552,2012,MN,N,Bog,2012,17,None,None,371,9.68482,58.1726,55,64,16,14,0.5,0,6,0,0,0
MNB151,251222,380016,0.6938,-0.211478323,-0.280021131,-0.459567552,2013,MN,N,Bog,2013,18,None,None,371,9.68482,58.1726,60,68,14,1,4,0,3,0,0,0
MNB151,251222,380016,0.6938,-0.211478323,-0.280021131,-0.459567552,2014,MN,N,Bog,2014,19,None,None,371,9.68482,58.1726,64,69,11,5,21,0,4,0,0,0
MNB161,251229,379709,0.7033,-0.102870282,0.319089238,-0.151085649,2012,MN,N,Bog,2012,13,None,None,402,8.9694,60.5928,30,70,6,0,1,0,23,0,0,0
MNB161,251229,379709,0.7033,-0.102870282,0.319089238,-0.151085649,2013,MN,N,Bog,2013,14,None,None,402,8.9694,60.5928,35,62,3,0,8,0,25,0,0,0
MNB161,251229,379709,0.7033,-0.102870282,0.319089238,-0.151085649,2014,MN,N,Bog,2014,15,None,None,402,8.9694,60.5928,48,72,13,0.5,17,0,21,0,0,0
MNB4,249724,384202,0.778,-0.468840851,-0.008269574,-0.15048071,2012,MN,Y,Bog,2012,1,None,None,218,6.50463,322.125,14,34,19,1,43,0,1,0,0,2
MNB4,249724,384202,0.778,-0.468840851,-0.008269574,-0.15048071,2013,MN,Y,Bog,2013,2,None,None,218,6.50463,322.125,28,69,10,0,17,0,0.5,0,0,3
MNB4,249724,384202,0.778,-0.468840851,-0.008269574,-0.15048071,2014,MN,Y,Bog,2014,3,None,None,218,6.50463,322.125,37,63,7,0,28,0,5,0,0,0
MNB7,249789,384799,0.8544,-0.239757709,0.03569334,0.205553148,2012,MN,N,DH,2012,16,None,None,224,11.5767,203.749,60,83,1.5,0.5,14.5,0,0,0,0.5,0
MNB7,249789,384799,0.8544,-0.239757709,0.03569334,0.205553148,2013,MN,N,DH,2013,17,None,None,224,11.5767,203.749,71,88,4,0,45,0,0,0,0,0
MNB7,249789,384799,0.8544,-0.239757709,0.03569334,0.205553148,2014,MN,N,DH,2014,18,None,None,224,11.5767,203.749,64,94,1,0.5,65,0,0,0,0,0
MNB72,250324,381816,0.8026,-0.407298862,0.651530739,0.403409962,2012,MN,Y,Bog,2012,1,None,None,434,13.7773,290.283,7,45,21,4,8,0,0,0,0,22
MNB72,250324,381816,0.8026,-0.407298862,0.651530739,0.403409962,2013,MN,Y,Bog,2013,2,None,None,434,13.7773,290.283,18,69,12,0.5,8,0,1,0,0,10
MNB72,250324,381816,0.8026,-0.407298862,0.651530739,0.403409962,2014,MN,Y,Bog,2014,3,None,None,434,13.7773,290.283,34,75,11,0.5,14,0,5,0,0,0
MNB86,250624,381813,0.6626,0.276661731,0.657042839,-0.100424961,2012,MN,Y,Bog,2012,1,None,None,432,12.8279,70.7693,10,18,15,0.5,27,0,0,0,0,39.5
MNB86,250624,381813,0.6626,0.276661731,0.657042839,-0.100424961,2013,MN,Y,Bog,2013,2,None,None,432,12.8279,70.7693,17,43,18,10,23,0,0.5,0,0,6
MNB86,250624,381813,0.6626,0.276661731,0.657042839,-0.100424961,2014,MN,Y,Bog,2014,3,None,None,432,12.8279,70.7693,29,40,37,3,19,0,0.5,0,0,2
SA106,312351,428949,0.8303,0.128869055,0.613107804,-0.315761308,2012,SA,N,Bog,2012,6,None,None,325,6.67592,250.017,32,46,30,0,17,0,7,0,0,0
SA106,312351,428949,0.8303,0.128869055,0.613107804,-0.315761308,2013,SA,N,Bog,2013,7,None,None,325,6.67592,250.017,34,56,9,0,27,0,8,0,0,0
SA106,312351,428949,0.8303,0.128869055,0.613107804,-0.315761308,2014,SA,N,Bog,2014,8,None,None,325,6.67592,250.017,62,61,6,1,27,0,40,0,0,0
SA107,312310,429198,0.7849,0.001710554,0.281475296,-0.22453721,2012,SA,N,Bog,2012,22,None,None,319,3.69146,324.462,68,40,25,0.5,1,0,34,0,0,0
SA107,312310,429198,0.7849,0.001710554,0.281475296,-0.22453721,2013,SA,N,Bog,2013,23,None,None,319,3.69146,324.462,51,56,15,2,29,0,2,0,0,0
SA107,312310,429198,0.7849,0.001710554,0.281475296,-0.22453721,2014,SA,N,Bog,2014,24,None,None,319,3.69146,324.462,31,28,19,0,12,0,38,0,0,0
SA108,312245,429579,0.7661,-0.091750713,0.642143645,-0.275683788,2012,SA,N,Bog,2012,10,None,None,302,3.1996,26.5651,26,55,21,1,1,0,21,0,0,0
SA108,312245,429579,0.7661,-0.091750713,0.642143645,-0.275683788,2013,SA,N,Bog,2013,11,None,None,302,3.1996,26.5651,35,39,26,5,2,0,30,0,0,0
SA108,312245,429579,0.7661,-0.091750713,0.642143645,-0.275683788,2014,SA,N,Bog,2014,12,None,None,302,3.1996,26.5651,29,48,19,5,9,2,34,0,0,0
SA109,312350,430150,0.7847,-0.064317128,0.295964643,0.385959094,2012,SA,Y,Bog,2012,1,None,None,306,7.94196,143.746,12,12,68,0,0.5,0,0,0,0,20
SA109,312350,430150,0.7847,-0.064317128,0.295964643,0.385959094,2013,SA,Y,Bog,2013,2,None,None,306,7.94196,143.746,23,26,65,1,4,0,0.5,0,0,4
SA109,312350,430150,0.7847,-0.064317128,0.295964643,0.385959094,2014,SA,Y,Bog,2014,3,None,None,306,7.94196,143.746,27,28,63,2,4,0,0,0,0,0
SA121,312653,429254,0.7486,0.104598704,0.563776352,-0.121430455,2012,SA,N,Bog,2012,18,None,None,332,6.33492,352.235,38,72,6,1,6,0,21,0,0,0
SA121,312653,429254,0.7486,0.104598704,0.563776352,-0.121430455,2013,SA,N,Bog,2013,19,None,None,332,6.33492,352.235,39,75,4,0,1,0,90,0,0,0
SA121,312653,429254,0.7486,0.104598704,0.563776352,-0.121430455,2014,SA,N,Bog,2014,20,None,None,332,6.33492,352.235,38,80,7,0,5,0.5,90,0,0,0
SA122,312648,430450,0.7396,0.01885894,0.340085799,-0.227717405,2012,SA,Y,Bog,2012,1,None,None,300,6.43292,86.1859,11,22,20,0,10,0,13,0,0,35
SA122,312648,430450,0.7396,0.01885894,0.340085799,-0.227717405,2013,SA,Y,Bog,2013,2,None,None,300,6.43292,86.1859,23,25,34,0,25,0,0.5,0,0,16
SA122,312648,430450,0.7396,0.01885894,0.340085799,-0.227717405,2014,SA,Y,Bog,2014,3,None,None,300,6.43292,86.1859,30,67,9,0,14,0,12,0,0,0
SA154,311147,430148,0.8147,0.014460121,0.203776904,-0.024902911,2012,SA,Y,Bog,2012,1,None,None,301,6.30298,275.194,7,7,8,0,26,0,0.5,0,0,59
SA154,311147,430148,0.8147,0.014460121,0.203776904,-0.024902911,2013,SA,Y,Bog,2013,2,None,None,301,6.30298,275.194,18,39,2,0.5,29,0,0.5,0,0,30
SA154,311147,430148,0.8147,0.014460121,0.203776904,-0.024902911,2014,SA,Y,Bog,2014,3,None,None,301,6.30298,275.194,26,44,2,0.5,35,0,2,0,0,17
SA169,311450,430150,0.8124,-0.341373489,0.084396353,0.414886216,2012,SA,Y,Bog,2012,1,None,None,333,3.57919,267.709,8,18,20,0,22,0,9,0,0,31
SA169,311450,430150,0.8124,-0.341373489,0.084396353,0.414886216,2013,SA,Y,Bog,2013,2,None,None,333,3.57919,267.709,15,55,16,0,17,0,5,0,0,16
SA169,311450,430150,0.8124,-0.341373489,0.084396353,0.414886216,2014,SA,Y,Bog,2014,3,None,None,333,3.57919,267.709,24,59,11,0,24,0,2,0,0,4
SA31,310579,429850,0.8146,0.17694786,0.145710898,-0.426669718,2012,SA,Y,Bog,2012,1,None,None,241,5.86792,274.185,13,2,17,0,25,0,0.5,0,0,56
SA31,310579,429850,0.8146,0.17694786,0.145710898,-0.426669718,2013,SA,Y,Bog,2013,2,Occaisional,Low,241,5.86792,274.185,20,19,33,0,37,0,3,0,0,8
SA31,310579,429850,0.8146,0.17694786,0.145710898,-0.426669718,2014,SA,Y,Bog,2014,3,None,None,241,5.86792,274.185,36,46,14,0,32,0,0.5,0,0.5,8
SA68,311452,429851,0.8339,-0.247848974,0.696255144,0.183507489,2012,SA,Y,Bog,2012,1,Frequent,High,316,9.90836,189.058,7,12,6,0.5,22,0,0,0,0,60
SA68,311452,429851,0.8339,-0.247848974,0.696255144,0.183507489,2013,SA,Y,Bog,2013,2,None,None,316,9.90836,189.058,15,62,6,0,25,0,0,0,0,7
SA68,311452,429851,0.8339,-0.247848974,0.696255144,0.183507489,2014,SA,Y,Bog,2014,3,None,None,316,9.90836,189.058,22,66,7,0,20,0,4,0,0,3
SA83,311751,429853,0.8041,-0.180461721,0.343521959,0.209719403,2012,SA,Y,Bog,2012,1,None,None,311,8.98488,161.565,6,15,13,0,15,0,1,0,0,57
SA83,311751,429853,0.8041,-0.180461721,0.343521959,0.209719403,2013,SA,Y,Bog,2013,2,None,None,311,8.98488,161.565,19,50,21,0.5,21,0,0,0,0,8
SA83,311751,429853,0.8041,-0.180461721,0.343521959,0.209719403,2014,SA,Y,Bog,2014,3,None,None,311,8.98488,161.565,24,52,9,0.5,17,0,0.5,0,0,12
SA84,311749,430151,0.7776,0.111683461,0.678515451,-0.212494394,2012,SA,Y,Bog,2012,1,None,None,334,5.31353,126.254,11,4,22,0,5,0,0.5,0,0,69
SA84,311749,430151,0.7776,0.111683461,0.678515451,-0.212494394,2013,SA,Y,Bog,2013,2,None,None,334,5.31353,126.254,20,41,34,0.5,21,0,0,0,0,4
SA84,311749,430151,0.7776,0.111683461,0.678515451,-0.212494394,2014,SA,Y,Bog,2014,3,None,None,334,5.31353,126.254,26,62,11,0,24,0,0.5,0,0,2
SA85,311750,430449,0.8234,-0.351389339,0.299306449,-0.370414966,2012,SA,Y,Bog,2012,1,None,None,352,4.32226,214.216,16,41,25,0,5,0,1,0,0,28
SA85,311750,430449,0.8234,-0.351389339,0.299306449,-0.370414966,2013,SA,Y,Bog,2013,2,None,None,352,4.32226,214.216,19,74,19,0,4,0,0.5,0,0,3
SA85,311750,430449,0.8234,-0.351389339,0.299306449,-0.370414966,2014,SA,Y,Bog,2014,3,None,None,352,4.32226,214.216,26,66,15,0,18,0,1,0,0,3
SA94,312052,429249,0.8152,-0.328637117,0.092622114,-0.564428925,2012,SA,N,Bog,2012,20,None,None,307,2.75314,242.103,28,42,5,25,0,0,17,0,0,0
SA94,312052,429249,0.8152,-0.328637117,0.092622114,-0.564428925,2013,SA,N,Bog,2013,21,None,None,307,2.75314,242.103,32,35,2,24,6,0.5,32,0,0,1
SA94,312052,429249,0.8152,-0.328637117,0.092622114,-0.564428925,2014,SA,N,Bog,2014,22,None,None,307,2.75314,242.103,28,48,5,33,9,0.5,18,0,0,0
